1. Edad:,2. Sexo:,3. Ocupación principal:,4. ¿Cómo nos conoció?,5. ¿Qué tan fácil fue contactarnos?,6. Tipo de vehículo que posee:,7. Uso principal del vehículo,8. ¿Con qué frecuencia utiliza su vehículo?,10. ¿Qué tan importante es para usted contar con un seguro actualmente?,11. ¿Cuál es el principal motivo por el que contrataría un seguro?,12. ¿Ha solicitado información sobre pólizas anteriormente?,13. ¿Terminó comprando una póliza con nosotros?,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - Abastecimiento de combustible,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - Asistencia mecánica,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - Cobertura contra desastres naturales,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - Daños a terceros,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - Daños propio,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - No tengo auto,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - Robo total del vehículo,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - Robos al paso,9. ¿Qué cobertura le interesa más en un seguro vehicular? (Puede marcar más de una opción) - Taller móvil,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - Aún no cuento con un auto,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - En general he tenido muchos problemas con aseguradoras,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - Falta de confianza en la aseguradora,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - Mi auto es muy antiguo y no lo aseguran,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - Mi seguro vence en un mes y ahí lo adquiriría aqui,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - No entendí bien las condiciones,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - No era el momento adecuado,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - Poco uso vehículo,14. ¿Cuál fue el principal motivo para no adquirir la póliza? - Precio elevado
32.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.75,0.75,0.7142857142857142,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,0.0,0.0,0.6666666666666666,0.9999999999999999,0.0,1.0,1.0,0.75,0.7142857142857142,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.75,0.42857142857142855,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29.0,0.5,0.0,1.0,0.9999999999999999,0.16666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34.0,0.0,0.3333333333333333,0.6666666666666666,0.9999999999999999,0.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.6666666666666666,0.9999999999999999,0.5,0.3333333333333333,0.25,1.0,0.7142857142857142,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.25,1.0,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,0.0,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.0,1.0,0.75,1.0,0.5714285714285714,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.5,0.0,0.6666666666666666,0.33333333333333337,0.0,0.8333333333333333,1.0,0.75,0.7142857142857142,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
45.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.75,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.6666666666666666,0.9999999999999999,0.0,1.0,0.0,1.0,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.6666666666666666,0.9999999999999999,0.3333333333333333,1.0,0.75,1.0,0.7142857142857142,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.75,0.42857142857142855,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.75,1.0,0.42857142857142855,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
43.0,0.0,0.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,0.75,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.0,0.0,0.0,0.6666666666666666,0.9999999999999999,0.0,1.0,0.0,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31.0,0.0,0.0,0.6666666666666666,0.9999999999999999,0.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.5,0.0,1.0,0.6666666666666666,0.0,1.0,0.25,0.75,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31.0,0.5,0.0,0.6666666666666666,0.33333333333333337,0.0,1.0,1.0,0.75,0.42857142857142855,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.75,1.0,0.42857142857142855,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.75,1.0,0.7142857142857142,0.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.75,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19.0,0.5,0.3333333333333333,0.6666666666666666,0.9999999999999999,0.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22.0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8333333333333333,0.75,1.0,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56.0,0.5,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.75,0.75,0.42857142857142855,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.5,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.5,0.0,0.25,0.75,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
33.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.75,1.0,0.42857142857142855,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38.0,0.5,0.0,1.0,0.33333333333333337,0.16666666666666666,1.0,1.0,1.0,0.42857142857142855,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
44.0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.75,0.25,0.42857142857142855,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26.0,0.5,0.0,0.6666666666666666,0.33333333333333337,0.0,1.0,0.0,0.75,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36.0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.75,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.75,0.75,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,0.0,0.25,0.42857142857142855,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,1.0,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,0.25,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31.0,1.0,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,1.0,0.75,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,1.0,0.75,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,1.0,0.75,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,1.0,0.75,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,1.0,0.25,0.2857142857142857,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.5,1.0,0.3333333333333333,0.33333333333333337,0.8333333333333333,1.0,0.25,0.75,0.42857142857142855,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,0.75,0.42857142857142855,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,0.0,1.0,0.42857142857142855,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37.0,1.0,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,1.0,0.75,0.2857142857142857,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,1.0,0.75,0.7142857142857142,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,0.25,0.75,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,0.75,0.75,0.42857142857142855,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,1.0,1.0,0.42857142857142855,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46.0,0.5,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,0.0,0.25,0.42857142857142855,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43.0,0.5,0.6666666666666666,1.0,0.33333333333333337,0.0,0.8333333333333333,0.75,0.75,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,0.75,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48.0,0.5,0.6666666666666666,1.0,0.33333333333333337,0.16666666666666666,1.0,1.0,0.75,0.42857142857142855,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.75,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.75,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.5,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,1.0,0.75,0.42857142857142855,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.5,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.16666666666666666,1.0,1.0,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,0.14285714285714285,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.75,1.0,0.42857142857142855,0.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.75,1.0,0.7142857142857142,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.5,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,1.0,0.25,0.0,0.42857142857142855,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,0.75,1.0,0.42857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40.0,0.5,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,1.0,0.75,1.0,0.42857142857142855,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,0.5,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,1.0,1.0,1.0,0.42857142857142855,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
